INCIDENTE,INC
NO ABRE,1712
NO AGARRA,0082
NO APRETADO,0756
NO APRETADO SOBRE PIE,1880
NO APRETADO SOBRE PUERTA,1879
NO ARRANCA,0048
NO BAJA A FONDO,3230
NO CIERRA,0843
NO CONDENA,3080
NO CONECTADO AL GMP,1870
NO CONFORME,4300
NO CONFORME ( DLI ),0075
NO CONFORME ( FAB ),0074
NO CONFORME ( PROVEEDOR ),0076
NO CONFORME AL TIPO,0052
NO DESLIZA,0051
NO ENGANCHA,0049
NO ENTRA,1710
NO ENTRA VELOCIDAD EN BVA.,6670
NO EQUIPADO,0753
NO FUNCIONA,3110
NO GRANULADO,2500
NO LLENO,0760
NO MONTADO,0738
NO PLACA,2120
NO PROGRAMADO,0095
NO REALIZADO,1731
NO RECUPERA,1713
NO RETIENE,1711
NO RUEDA,0083
NO SALE,1709
NO SE LEE,0036
NON INITIALISE,0794
NON PERTINENT,7929
NON RELIE / DD,3677
NON RELIE / DG,3676
NON SERRE HORIZONTAL,7741
NON SERRE SUP,7737
NON SERRE VERTICAL,7740
NON VERROUILLE,77AA
OBTUR PEINT MAL POSITIONNE,7943
OBTURADOR  MAL AJUSTADO,2210
OBTURADOR DEFORMADO,4081
OBTURADOR DETERIORADO,4080
OBTURADOR DURO DE MANIOBRAR,4082
OBTURADOR FLOJO - LIBRE,4100
OBTURADOR FUERA DE ALOJAMIENTO,1733
OBTURADOR MAL AJUSTADO,2210
OBTURADOR MAL POSICIONADO,4070
OBTURADOR NO CONFORME,2670
OBTURADOR TONOS NO COMBINADOS,2680
OEIL BLANC,7905
OEIL NOIR,7907
OEIL ORANGE,7906
OLOR DESAGRADABLE,3415
ONDULACION,0250
ONDULACION DE PULIDO CON ALUMINIO,0255
ONDULADO,2180
OPERACION MAL REALIZADA,2222
OPERACION NO REALIZADA,2233
OPERACION NO REALIZADA  ,4301
OPERACION NO REALIZADA (MECANICA),5302
ORGANO FALTA,7702
ORGANO MAL FIJADO,1886
ORGANO NO FUNCIONA,4845
OSNR,8953
OSNR EOLT,8959
OSNR ZIPPAGE ABL,8956
OXIDACION,0390
OXIDO - PICADURA,2190
OXIDO . PUNTO DE OXIDO,5190
OXIDO TORN. - TUERCA - REMACHE - GRAPA,2220
PANNE EOLT,8960
PANNE ZIPPAGE ABL,8957
PANTALLA TERMICA MAL POSICIONADA,5620
PAR DE APRIETE PARALELISMO  AV NC,7948
PAR DE APRIETE PARALELISMO AV NC,7948
PAR DE APRIETE TREN AR NC,7950
PARADA INTEMPESTIVA,3800
PARALELISMO FUERA DE TOLERANCIA,5200
PARAMETRO NO CONFORME,7801
PAREJA NO CONFORME,0014
PAS D AVANCE,7930
PASA - CABLES MAL POSICIONADO,5470
PASA-CABLES : FLOJO - LIBRE,4680
PASO DE LUZ,3750
PASO INTEMPESTIVO DE VELOCIDAD / BVA.,6603
PASSAGES EXCESSIFS EN ETUVE,7756
PASTA FIJADORA MAL POSICIONADA,5750
PASTILLA ADHESIVA DESPEGADO,0999
PASTILLA ADHESIVA FALTA,0998
PASTILLA ANTICORROS. MAL PEGADA,4706
PASTILLA ANTICORROS. MAL POSICIONADA,4705
PASTILLA TUERCA DESOLDADA,0923
PASTILLE ADHESIVE MAL POSITIONNEE,7860
PASTILLE ADHESIVE MANQUE,7859
PATA DE FIJACION MAL PLEGADA,0670
PATILLA DEFORMADA,1742
PATILLA ROTA,1741
PATINA,6450
PATINA CAJA VELOCID. AUTOMATICA,6490
PATTE SUPPORT SONDE MAL POSITIONNE,1813
PATTE SUPPORT SONDE MANQUE,1812
PEGA,0013
PEINTURE FISSUREE,1497
PELLIZCADO,5320
PEON NO-CONFORME,7850
PESTA¥A MAL POSIC. - NO PLACA,0242
PESTAÑA DEFORMADA,0241
PETARDEO,7340
PICADO BIELA (PICADO DE TAQUES),7170
PICADURAS,1130
PICO,0230
PICO ( CHAPA ),1801
PICO ( MONTAJE ),1890
PICO ( PINTURA ),1802
PICOT ( EMBOUT ),8978
PICOT CHAPA,0879
PIECE CASSEE,8950
PIECE MONTEE,7757
PIEL DE NARANJA,1240
PIEZA CAIDA,7803
PIEZA DE PLASTICO MAL PERFILADA,2460
PIEZA MAL POSICIONADA,8952
PIEZA VOLVER A MONTAR,1729
PIEZAS MEZCLADAS,7804
PILLADO,0905
PILLADO EN PEDALES,1912
PILLADO EN PIPA,1911
PINHOLES,7826
PION MAL CLIPSE,7851
PIQUAGE RESERVOIR NON BRANCHE,1839
PLANO DE JUNTA AGRESIVO,0380
PLANO DE JUNTA NO CONFORME,0054
PLIEGUE DE CHAPA,0350
PLIEGUES,0890
PLOT NO APRETADO,1957
POIL,7721
POINT DE SOUDURE DEFORME,0416
POINT DE SOUDURE MAL POSITIONNE,0415
POROSO,0055
PORRAZO DE MONTAJE,0725
POSICION DIAMETRO NC,U165
POSITION AXE CORDON NC,U553
PRE ATORNILLADO NO CONFORME,1953
PREDOMINA EL FRENADO AR.,6760
PREDOMINA EL FRENADO AV.,6750
PRELEVEMENT MASTIC,7933
PRE-REGL NC,795B
PRES POUSSIERE,7872
PRESENCE CORPS GRAS ( ORIG INSTAL ),7918
PRESENCE CORPS GRAS ( ORIG TOL ),7917
PRESENCE EAU ( ORIGINE INSTAL ),7916
PRESENCE FIL DE SOUDURE,7927
PRESENCE GAS-OIL,7840
PRESENCE HUILE,7838
PRESENCIA DE AGUA (ORIGEN INDETERMINADO),9000
PRESENCIA DE AIRE,0774
PRESENCIA DE BARNIZ COPOLIMERO,1600
PRESENCIA DE CERA,4991
PRESENCIA DE PIEZA NO JUSTIFICADA,2340
PRESENCIA LIQUIDO REFRIGERACION,7839
PRESSION CARTER CYLINDRE NON-CONFORME,7831
PRESSION NON-CONFORME,7841
PROJECTION CIRE,2287
PROJECTION INSONORISANT,7915
PROTECTEUR MAUVAIS ASPECT,4892
PROTECTOR DETERIORADO,4880
PROTECTOR LIBRE O NO APRETADO,4891
PROTECTOR MAL POSICIONADO,4890
PROTECTOR NO CONFORME,4871
PROYECCION,5011
PROYECCION DE MASTICO,0089
PROYECCION DE PINTURA,1430
PROYECCION DE SOLDADURA,0440
PROYECCION MASTICO DE CHAPA,0703
PROYECCION P2,1470
PRUEBA BV NO CONFIRMADA,1907
PUNTO DE CORROSION,0391
PUNTO DE OXIDO,1500
PUNTO DE SOLDADURA DESPEGADO,0441
PUNTO MEDIO NO CONFORME,0740
PURGA NO CONFORME,0736
PUSTULAS,1140
QUEMADO,2580
RAJADO,2400
RALENTI ACELERADO MUY ALTO,6840
RALENTI ACELERADO MUY BAJO,6850
RALENTI ACELERADO NO FUNCIONA,6860
RASGADO,2160
RASQUIDO,7380
RASTRO DE LIMPIEZA,0726
RAYA DE LIJADO,1250
RAYA DE PINTURA,0763
RAYA EN PIEZA DE CHAPA,0360
RAYA LLEGA A LA CHAPA,1531
RAYA MONTAJE,1780
RAYA SOBRE LACA,1530
RAYADO,2330
RAYAS,1520
RAYAS ,1520
RAYAS ( PINTURA ),1805
REACCION DE LA DIRECCION,6480
REBATIDO NO CONFORME,1771
REBOSA CARBURANTE,6900
RECHINA JUNTA A LA APERTURA - CIERRE,8130
RECHINAMIENTO,7130
REFERENCIA ILEGIBLE,0056
REFLEJO DE LOS MANDOS ILUMINADOS,3960
REGIMEN INESTABLE,6500
REGIMEN MUY LENTO,6520
REGIMEN MUY RAPIDO,6510
REGLAGE IMPOSSIBLE ( ROUE CREVEE ),1916
REGLAJE IMPOSIBLE,3390
REGLAJE NO CONFORME,1772
RELE DEFECTUOSO,4490
RELE MAL CONECTADO,4842
RELE MAL FIJADO,4520
RELE MAL- NO CONECTADO,4510
RELE NO CONFORME,4500
RELE RUIDOSO (EQ. CARROCERIA),4521
RELLENO DEFECTUOSO,4920
REMACHE AGRESIVO (POP-KSM-...),4470
REMACHE FALTA,4460
REMACHE MAL POSICIONADO (POP-KSM-...),4480
RESONANCIA,7410
RESTALLA - CHISPORROTEA,7220
RESTOS DE PEGAMENTO,0869
RESUDADO,5070
RETIRAR,1795
RETOQUE DE PINTURA APARENTE,1400
RETOQUE IMPOSIBLE PEQUENO PLATEAU,1905
RETOQUE LOCAL CON PLUMA,1450
RETOQUE NC,U108
RETOQUE NO TERMINADO,1410
RETORCIDO,0065
RETORNA MAL,3400
RETOUCHE LOCALE_PLUME MONTAGE,1929
RETOUCHE LOCALE_PLUME PEINTURE,1928
RETRAIT MAROUFL A VRF,25AD
REVESTIMIENTO SE LEVANTA,2710
RIVKLE DETERIORE,1804
RIVKLE FALTA,0932
RIVKLE MAL POSICIONADA,0883
RIVKLE NON-CONFORME,7718
RIVKLE SE GIRA,0953
ROCE,0966
RODAMIENTO RUIDOSO,7470
ROMANA DEFECTUOSA,0903
ROMANA DETERIORADA,0888
ROMANA MAL POSICIONADA,0886
ROMANA MAL SOLDADA,0891
ROMANA NO CONFORME,0889
ROMANA ROTA,0901
ROMANA SE GIRA,0991
ROMANA SOLAPADA,0887
ROSCA CON PROYECCIONES,1757
ROSCA NO CONFORME,0063
ROSCA TRASROSCADA,0025
ROTACION NO CONFORME,1770
ROTO,3240
RUDEZA - ASPEREZA DEL MOTOR,7360
RUIDO A LA APERTURA,8690
RUIDO A LA MANIOBRA,8220
RUIDO AL CIERRE,8700
RUIDO ANORMAL,8710
RUIDO ANORMAL EN FRIO,8730
RUIDO CICLICO,7120
RUIDO DE ABRASION,7060
RUIDO DE AIRE,8100
RUIDO DE AIRE EN POSICION ABIERTA,8110
RUIDO DE AIRE EN POSICION CERRADA,8120
RUIDO DE ASPIRACION,7070
RUIDO DE BOCA,7080
RUIDO DE CABLEADO,8600
RUIDO DE CAMORRA,7560
RUIDO DE CUERNO DE BRUMA,8260
RUIDO DE CUERPO EXTRA¥O,8500
RUIDO DE GRAVILLA,8060
RUIDO DE PARASITOS RADIO,8240
RUIDO DE PUNTO MUERTO,7370
RUIDO DE RAFAGA,7390
RUIDO DE REASPIRACION,7400
RUIDO DE RODADURA,7450
RUIDO EN POSICION ABIERTA,8200
RUIDO EN POSICION CERRADA,8210
RUIDO EN TWEETER,0980
RUIDO LUNA ENTREABIERTA,8270
RUIDOSO,0008
SALTEADO,0059
SALTOS,6540
SANGRADO,7825
SCELLAGE HUILE NC,U662
SE CALA AL ARRANCAR,6240
SE CALA EN RALENTI,6230
SE DESCLIPSA,0992
SE EMBALA EN BVA.,6680
SE ENGANCHA,3010
SE SALE DE LA GUIA,3280
SE TIENE MAL  (A LA MANIOBRA),3290
SE TIENE MAL (A LA MANIOBRA),3290
SECADO,0061
SELECTOR MAL POSICIONADO,1900
SILBIDO,8250
SILBIDO (RUIDO HIDRAULICO),7160
SILBIDO EN POSICION CERRADA,8720
SILBIDO FRENANDO,7490
SILBIDO SIN FRENAR,7480
SILENBLOC DEFECTUOSO,1701
SILENBLOC FALTA,1703
SILENBLOC MAL POSICIONADO,1702
SILENBLOC NO CORRESPONDE,1704
SIN FIRMA,1726
SIN FIRMA BATERIA,1901
SIN FIRMA DE PINTURA,2275
SIN FUGA,0870
SIN PINTAR,0747
SIN PRESION,0057
SIN QUITAR CALA,1793
SIN QUITAR TORNILLO,1794
SIN SILICONA,0058
SIRENEO,7732
SIRENEO AL ACELERAR,7510
SIRENEO AL REDUCIR,7500
SOBRESALE,0010
SOBRESALE DIFERENTE I. /  D.,0012
SOBRESALE DIFERENTE I. / D.,0012
SOBRESALE IRREGULAR,0011
SOBRESPESOR,0062
SOBRESPESOR MASTICO,1051
SOLD. DEFECT. SOPORTE - REFUERZO,0490
SOLDADURA AGRESIVA,4141
SOLDADURA DEFECTUOSA,0460
SOLDADURA ESTALLADA,0480
SOLDADURA ESTALLADA O PERFORADA,0243
SOLDADURA FALTA,0450
SOLDADURA LISTEL FALTA,0244
SOLDADURA MAL O NO CEPILLADA,0510
SOLDADURA MAL POSICIONADA,0430
SOLDADURA NC,0451
SOLDADURA NO CONFORME,7778
SOLDADURA PERFORADA,0470
SOLDADURA POROSA,0420
SOMBRAS,0993
SOPORTE - REFUERZO DETERIORADO,0150
SOPORTE - REFUERZO FALTA,0160
SOPORTE - REFUERZO MAL POSICIONADO,0130
SOPORTE - REFUERZO MAL REMACHADO,0140
SOPORTE AGRESIVO,5363
SOPORTE CONECTOR FUERA DE SERVICIO,0847
SOPORTE DEFORMADO,5362
SOPORTE DESCONCHADO,0840
SOPORTE DETERIORADO,5361
SOPORTE MAL CENTRADO,2920
SOPORTE MAL POSICIONADO,5360
SOPORTE NO APRETADO,5380
SOPORTE NO CONFORME,5371
SOPORTE NO PLACA,2910
SOPORTE RAYADO,0841
SORTIE CASSEE,7714
SOUS DEROGATION,7995
STRIPPING MAL ASPECTO,4981
STRIPPING PAS EN LIGNE,4961
SUCIEDAD,2050
SUCIEDAD HORNO CATAFORESIS,11AA
SUCIEDAD HORNO INTERMEDIO,11AB
SUCIEDAD MULTICOLOR,11AG
SUCIEDAD RESTOS DE PULIMENTO,2051
SUCIEDAD TOPE DE PUERTA,0787
SUCIO,0097
SUCIO DE GRASA,0949
SUELTO,6190
TALADRADO,4200
TALADRADO - PERFORADO,0290
TALADRO DEFORMADO,1737
TALADRO DESPLAZADO,1730
TALADRO MAL POSICIONADO,1725
TALADRO NO COINCIDE,1715
TALADRO NO CONFORME,0053
TALADRO OBTURADO,1736
TALADRO SOLAPADO,1735
TALONA,0091
TALONA  A LA MANIOBRA,0170
TALONA A LA MANIOBRA,3420
TALONAM. - CONTACTO AL MANIOBRAR,6420
TALONAMIENTO EN CARGA,6410
TALONNEMENT MASTIC PEINTURE,7968
TAMBORILEO,8530
TAPA FIJACION BARRA.GALERIA AV.D,5903
TAPA FUERA DE SEVICIO / FALTA,0716
TAPA JUNTA DEFORMADA - DETERIORADA,4940
TAPA JUNTA FALTA,4950
TAPA JUNTA MAL POSICIONADA,4930
TAPA MAL POSICIONADA,1719
TAPA MAL PUESTA,0046
TAPA SUELTA,0960
TARAUDAGE DETERIORE,8976
TEINTE NON ASSORTIE MONTAGE,1924
TEINTE NON ASSORTIE PEINTURE,1925
TENSION DEFECTUOSA,5870
TENSION NO CONFORME,0064
TERMINAL - CLIP - CONECT.LIBRE- FLOJO,4820
TERMINAL - CLIP - CONECTOR  DETERIORADO,4840
TERMINAL - CLIP - CONECTOR DETERIORADO,4840
TERMINAL - CLIP - CONECTOR INVERTIDO,4810
TERMINAL DETERIORADO,4841
TERMINAL MAL APRETADO,4846
TERMINAL. CLIP. B-CONEC MAL POSICIONADO,4780
TEST ACOPLADOR 4x4 NC,7963
TEST CV NO CONFORME,1785
TEST NON-CONFORME,7704
TEST RV-LV NO CONFORME,7964
TETON DEFORMADO,0928
TETON DESPLAZADO,0929
TETON MAL POSICIONADO,0931
TETON ROTO,1783
TETON SUELTO,1784
TIEMPO LARGO PASO DE VEL./ BVA.,6690
TIPO NO CONFORME 185,1796
TIPO NO CONFORME 195,1797
TIPO NO CONFORME 215,1798
TIRADOR DEFECTUOSO,8808
TIRADOR FALTA,8807
TIRADOR SUELTO,8806
TIRANTE - CABLE DETERIORADO,4390
TIRANTE - CABLE MAL POSICIONADO,4380
TIRANTE - CABLE NO APRETADO,4400
TIRETTE DEFECTUEUSE,8809
TIRO,6280
TOPE AGRESIVO,4853
TOPE DEMASIADO LIBRE,4851
TOPE INEFICAZ,4852
TOPE LENGUETA INEFICAZ,0099
TOPE MAL POSICIONADO,4854
TOPE MAL REGLADO,4860
TOPE ROTO,0098
TORNILLO - FIJACION TRASROSCADO,4251
TORNILLO - REMACHE AGRESIVO,2290
TORNILLO DEFECTUOSO,1764
TORNILLO FALTA,0720
TORNILLO FIJ. TRASROSCADO(MECANICA),5251
TORNILLO FLOJO,0963
TORNILLO FUERA DE ALOJAMIENTO,0978
TORNILLO INCLINADO,1763
TORNILLO NO CORRESPONDE,0948
TORNILLO PASADO,0068
TORNILLO REGLAJE ROTO / FALTA,0721
TORNILLO ROTO,0913
TRACE DE CRAIE,7765
TRACE DE PONCAGE ( PSEUDO ),7758
TRACES,U119
TRANSMISION DE RUIDOS,7550
TRANSPARENCIA DE RUIDOS EXTERIORES,8300
TRASP. / PALANCA DE VELOCIDADES,7549
TRASP. / PASA-CABLES ELECTRICO,7544
TRASP. / PASA-FUNDAS,7546
TRASP. / PASA-TUBO DE AIRE ACOND.,7547
TRASP. / PASA-TUBOS DE CALEFACCION,7545
TRASPARENCIA / AIREADORES,7548
TRASPARENCIA / JUNTA G.M.V.,7542
TRASPARENCIA / SOPORTE PEDALES,7543
TRASPARENCIA DE LIJADO,0950
TRASPARENCIA DE PINTURA,1490
TRASPARENCIA RUIDOS /OBT. COL. DIRECCION,7541
TRASPARENCIA RUIDOS/ SALPICADERO,7540
TRASROSCADO,0027
TRAYECTORIA DESPLAZADA,1881
TRAZA DE DISCO,0260
TRAZA DE LIJADO (CHAPA),1778
TRAZA DE LIJADO (PINTURA),1779
TRAZABILIDAD MAL O NO REALIZADA,1786
TREPIDACION,6650
TROU DANS MASTIC,1003
TUBO DE IDA DETERIORADO,4580
TUBO DE IDA FLOJO,4590
TUBO DE IDA MAL ENMANDADO,4650
TUBO DE IDA PELLIZCADO,4670
TUBO DE RETORNO DETERIORADO,4740
TUBO DE RETORNO FLOJO,4750
TUBO DE RETORNO MAL ENMANGADO,4900
TUBO DE RETORNO MAL POSICIONADO,4760
TUBO DE RETORNO PELLIZCADO,4910
TUBO LLEGADA MAL/NO ENMANGADO,5880
TUBO NO CORRESPONDE,1714
TUBO RETORNO MAL/NO ENMANGADO,5790
TUBO-CANALIZACION DE IDA MAL POSICIO.,4600
TUBO-CANALIZACION MAL RECORRIDO,4030
TUCKER CORTADO,0958
TUCKER DESPLAZADO,0959
TUCKER ROTO,0958
TUERCA CON PROYECCIONES,1744
TUERCA DEFECTUOSA,1762
TUERCA DESOLDADA,0874
TUERCA EN CAJA DETERIORADA,0922
TUERCA FALTA,0871
TUERCA FLOJA,0897
TUERCA MUY APRETADA,0983
TUERCA NO CONFORME AL TIPO,1975
TUERCA SE GIRA,0952
TUERCA SOLDADA FALTA,0885
TUERCA TRASROSCADA,0772
TUERCA TRASROSCADO,1761
TUYAU NON-CONFORME,7837
UMBRALES ANORMALES / BVA,6560
UNIDAD CENTRAL HABITACULO MAL CONECTADA,0845
UNIDAD CENTRAL HABITACULO NO CONFORME,0844
VAGABUNDEO - ESTABILIDAD,6620
VALEUR FALTA,7865
VALIDACION NO OK,0849
VALOR CARROCERIA AR FUERA DE TOLERANCIA,7952
VALOR CARROCERIA AV FUERA DE TOLERANCIA,7951
VALOR EFICACIA FRENADO NC,7965
VALOR EFICACIA FRENO MANO NC,7966
VALOR PARALELISMO AR FUERA TOLERANCIA,7949
VALOR PARALELISMO AV FUERA DE TOLERANCIA,7947
VALOR PRE-REGLAJE FAROS FUERA TOLERANCIA,7958
VALOR REGLAJE FAROS FUERA TOLERANCIA,7957
VALVULA PILLADA,0925
VARIACION PRESION,0792
VARIACION TOTAL PARAL. FUERA TOLERANCIA,5910
VARILLA MAL GRAPADA,0971
VELOCIDAD PALIER DE CHAUFFE NC,7961
VELOCIDAD PALIER OBD NC,7962
VELOCIDAD SALTA AL ACELERAR,6660
VELOCIDAD SALTA AL RETENER,6770
VELOCIDAD SE SALE,6600
VERIF. NO REALIZADA (GAMA),4303
VERIFICACION NO REALIZADA GAMA,5303
VERIFIER APRES RETOUCHE,7736
VIBRACION,8440
VIBRACION AL CIERRE DE LA PUERTA,8312
VIBRACION DE PANTALLA TERMICA,7600
VIBRACION EN RALENTI,8430
VIBRACION SIN RUIDO,6440
VINT ILI KREPLENIE PROVORAChIVAYuTSYa (MEHANIKA),5151
VIOLABILIDAD,3321
VIS AR NON SERREE,4276
VIS ARD NON SERREE,7903
VIS ARG NON SERREE,7902
VIS AV NON SERREE,4275
VIS AVD NON SERREE,7901
VIS AVG NON SERREE,7900
VIS ELEMENT DE LIAISON MAL SERREE,1917
VISION INTERNA EXCESIVA,2171
VRILLE,3430
VULNERABILIDAD,3320
ZIPPAGE RUEDAS NO CONFORME,0731
ZOCALO ROTO,0868
ZONA LISA NO CONFORME,0752
ZUMBIDO,7090
ZUMBIDO EN RALENTI,7091
